comment_id,author,text,published_at,cleaned_comment,sentiment,sentiment_category,tokens,topic
Ugy3ffen27tVOc-rgwJ4AaABAg,@nainua7573,damn thats lit,2021-11-25T17:08:38Z,damn thats lit,0.0,Neutral,"['damn', 'light']",2
Ugy1J6_VPSsMvpeG3gB4AaABAg,@elyoaquin6466,Invitaron a spreen?,2021-11-25T17:08:34Z,invitaron a spreen,0.0,Neutral,"['invitaron', 'spreen']",3
UgzCiDarNRc1ORcdo_14AaABAg,@ankitrathor163,"Now I am clear why I received gift from mrbeast in brawl stars
I can die piecefully",2021-11-25T17:08:32Z,now i am clear why i received gift from mrbeast in brawl stars i can die piecefully,0.10000000000000002,Positive,"['clear', 'receive', 'gift', 'mrbeast', 'brawl', 'star', 'die', 'piecefully']",0
UgwQLGLU9FOkZjZ5GBd4AaABAg,@mariannagalicia6999,Woahh that's so good,2021-11-25T17:08:29Z,woahh that s so good,0.7,Positive,"['woahh', 'good']",1
UgxOuTTAkxof8IrkoDp4AaABAg,@BRZZNDAN,Bruh he did it,2021-11-25T17:08:29Z,bruh he did it,0.0,Neutral,['bruh'],4
UgxYjuXZXGSCqUaF-mx4AaABAg,@shojabaloch5873,😀😂🤣,2021-11-25T17:08:28Z,,0.0,Neutral,[],0
Ugzl4hYKPSp4yYfxiV94AaABAg,@melodeyh970,If I were doing the glass bridge I'd just run over on one side before they could fall,2021-11-25T17:08:28Z,if i were doing the glass bridge i d just run over on one side before they could fall,0.0,Neutral,"['glass', 'bridge', 'run', 'one', 'side', 'could', 'fall']",4
UgxkCh_XS0RHVhLLqzp4AaABAg,@ReconXLT,"Okay, now that.. was EPIC",2021-11-25T17:08:26Z,okay now that was epic,0.3,Positive,"['okay', 'epic']",1
UgxuZ-UluMQO7ehvOQV4AaABAg,@Zam-Buk_Gaming,I ma be real the ending was trash sorry,2021-11-25T17:08:26Z,i ma be real the ending was trash sorry,-0.15,Negative,"['real', 'ending', 'trash', 'sorry']",1
UgyZVfByfSy1-tTj5zB4AaABAg,@omaralmulla1601,Brawl star yes,2021-11-25T17:08:24Z,brawl star yes,0.0,Neutral,"['brawl', 'star', 'yes']",1
UgxvBcwIYjzzpkF6jKd4AaABAg,@CH-2ch,*I can't stop watching it 🔥*,2021-11-25T17:08:24Z,i can t stop watching it,0.0,Neutral,"['stop', 'watch']",4
UgyAYPPYaHI2wxxdc2t4AaABAg,@brendanperng,i was really rooting for 456,2021-11-25T17:08:24Z,i was really rooting for 456,0.2,Positive,"['really', 'root']",4
UgymojMd4rbVlYbXbQF4AaABAg,@NakuitsiArtDump,If I was there with my boyfriend and had to go against him I would literally cry.,2021-11-25T17:08:24Z,if i was there with my boyfriend and had to go against him i would literally cry,0.0,Neutral,"['boyfriend', 'go', 'would', 'literally', 'cry']",4
Ugyl_ldSgYFytmrh8Zh4AaABAg,@kyleighwallager9305,BRO THATS SO COOOOLLLLL WISH I WAS THEIR RNNNN,2021-11-25T17:08:22Z,bro thats so coooolllll wish i was their rnnnn,0.0,Neutral,"['bro', 'coooolllll', 'wish', 'rnnnn']",2
UgwBwoogBu582jeGj1F4AaABAg,@aarushdhamija1140,Wow,2021-11-25T17:08:21Z,wow,0.1,Positive,['wow'],1
Ugxi1lV2t37izLPT4NV4AaABAg,@deku_ofa_9523,it was so cool,2021-11-25T17:08:21Z,it was so cool,0.35,Positive,['cool'],2
Ugyehq3zIquoaNyUN-J4AaABAg,@mocode2804,"Hi Mr.Beast 
I just subscribed to your channel because of the effort you put in making this game a reality 😊
Thanks 🙏🏾",2021-11-25T17:08:21Z,hi mr beast i just subscribed to your channel because of the effort you put in making this game a reality thanks,-0.1,Negative,"['hi', 'mr', 'beast', 'subscribe', 'channel', 'effort', 'put', 'make', 'game', 'reality', 'thank']",4
