comment_id,author,text,published_at
UgwOcI0SoAuA7NosG994AaABAg,@Alxz.66,alv,2021-11-25T18:51:13Z
UgwpG0Pm16BEqsXLQYt4AaABAg,@Bensko00,wow this was intense,2021-11-25T18:51:13Z
UgwA7h41e1PZgkAlm2h4AaABAg,@rafaelmoreirarcm,q cara bom,2021-11-25T18:51:13Z
Ugy-UJmkvHjpMqLXWBJ4AaABAg,@PythononPapyrus,Very cool!,2021-11-25T18:51:11Z
Ugy4oua1Q85D5ChfkPh4AaABAg,@DrixFlores,The best 🔥,2021-11-25T18:51:07Z
Ugz0GgvFscmVKJtRB_V4AaABAg,@shada6461,"God, you taught me what to share with me. . . Haha, haha, haha.😂☁",2021-11-25T18:51:07Z
UgyibA5_-bBCmti3KHd4AaABAg,@Thataintfunny01,"""I appreciate the dude that calculated the odds of getting past one tile of glass in *""Glass Bridge""* , a true mathematician.""

-Albert Einstein or smth, idk",2021-11-25T18:51:06Z
UgxYCd5rlzYBLvdQ7iF4AaABAg,@yellowpig6513,Money and it's power😶,2021-11-25T18:51:05Z
Ugw98s1CfbQeZoCxpml4AaABAg,@kingjordy9991,I subscribed,2021-11-25T18:51:05Z
UgwQ5rp3nIq2tDssWJl4AaABAg,@amirrzakcker9932,🔥🔥🔥,2021-11-25T18:51:03Z
Ugyk27StX5bZ7bXFzc14AaABAg,@lion-hu7ct,It is best than the movie moooooooooore one milion time,2021-11-25T18:51:02Z
UgwE6b0S574N6pk7m0B4AaABAg,@ace-gb5wy,Thanks for money in brawl stars,2021-11-25T18:51:01Z
UgzObuIBy3B5srK_Zel4AaABAg,@louis308,You actually can make your own Netflix series.,2021-11-25T18:51:01Z
Ugx7Oi4dRKkk5j-9y9Z4AaABAg,@alienenby,"Well, Guess im subscribing and downloading brawl stars :)",2021-11-25T18:51:00Z
Ugy1Rhk8IKoIlzDHCU14AaABAg,@vovosh,Видимо не будет коллаба с Димой Масленниковым :(,2021-11-25T18:51:00Z
UgxUYz1clBVJ0AkIBvF4AaABAg,@z3nsu425,I mean at least they are getting some money for failing,2021-11-25T18:51:00Z
UgwqUwgtQgwX4lovDFJ4AaABAg,@blus0,YOOOOOOOO,2021-11-25T18:50:59Z
UgzQrlllzoDo5AYMhll4AaABAg,@Angel_devil6969,I THOUGHT IT WAS A FUCKING JOKE WHAT,2021-11-25T18:50:57Z
UgzH9jYVXzz6eEL0Irh4AaABAg,@NicolasGonzalez-lu1oz,El mejor los mejores 3.99 q e podido gastar nada como tus videos,2021-11-25T18:50:55Z
UgwlQJkExmEfe0rHcml4AaABAg,@mr.nolove652,39 million in 21hours wow that got to be a record 😁,2021-11-25T18:50:54Z
UgwRCuTWxqWz1RqONoB4AaABAg,@jace2881,Where FLAMGOOO,2021-11-25T18:50:50Z
UgyIX2gaoKEdKKWJLfB4AaABAg,@LuisGonzalez-ht4pe,With the money mr.beast has this is the real squid games 😂😭The pg version,2021-11-25T18:50:49Z
UgzxoPKq4gwrZ62GXuZ4AaABAg,@stickmon1092,Wow 😮😮😮,2021-11-25T18:50:48Z
Ugxj462rkxrff2tAW2N4AaABAg,@lucaperrone9963,👌👌👌👌👌,2021-11-25T18:50:47Z
UgzKewocjbDhVMVoc6x4AaABAg,@cloudysup4931,40m views in under 24 hours😂,2021-11-25T18:50:47Z
Ugw2V1CsagVFMet6DvB4AaABAg,@paullell9749,Id do this,2021-11-25T18:50:46Z
UgyX2FW2UTyGOLvSGP54AaABAg,@60-the-techyard43,op bros,2021-11-25T18:50:46Z
Ugz3HAlhSkdf45Be2fR4AaABAg,@mha_4_life788,"10,000 is a lot of money if I get it it will help me and my family a lot please 🙏 you are my idle",2021-11-25T18:50:46Z
Ugz_vbrHg-YTLYjEZIt4AaABAg,@ivanche8237,Finally i dont have to pay to watch netflix content,2021-11-25T18:50:45Z
UgwqGf65BW0uistqRHZ4AaABAg,@abiz6000,Was amazing 🥰😍,2021-11-25T18:50:45Z
Ugwdl233-QBmFQEA9NZ4AaABAg,@kyleswartz9837,This was so good!,2021-11-25T18:50:45Z
Ugz_deP-6zB46NOISit4AaABAg,@lucasaca4782,Al salo en español plis,2021-11-25T18:50:45Z
UgwB1Le-Etw7XUUTGVl4AaABAg,@mariosunandar1707,I know how to play the last game,2021-11-25T18:50:44Z
UgzPVc2yLeo26M5WMst4AaABAg,@zukamaziashvili7015,"pls do meeee give me plssssssssss $10,000 pls",2021-11-25T18:50:41Z
UgwrJdROtIhcZ-3EaXt4AaABAg,@darko5823,Just shoot season 2 💀,2021-11-25T18:50:40Z
UgywYRhtmtNQOVjDb-d4AaABAg,@farid7611,خیلی خوب بود,2021-11-25T18:50:39Z
Ugy23-Liajy_se-2RMx4AaABAg,@scr3am273,Im just thinking what would happen if someone actually slipped in the foam box and fell down.,2021-11-25T18:50:39Z
UgyOmnVqWG7cQo1JkRl4AaABAg,@wateredbottle2529,This was really well done,2021-11-25T18:50:36Z
UgwLdOURoXRqOjRmplp4AaABAg,@TaJIuCmaHbI4,Insane !!!,2021-11-25T18:50:35Z
Ugw5lk6UrZo37HbC68d4AaABAg,@Lakinoob,"Haha, Brawl Stars",2021-11-25T18:50:34Z
UgxDU1A1B6Fb12aCy914AaABAg,@erwinljungberg6318,So good channel,2021-11-25T18:50:33Z
UgxO5oB3B6EYuQFkwKF4AaABAg,@NewGoat1,YOOOOOO!!! IT CAME OUT,2021-11-25T18:50:33Z
UgyhjEjnQkazjrXSxAV4AaABAg,@winoskeleton4185,"I'm a good person,and i Subscribed.",2021-11-25T18:50:33Z
Ugwr3FRJW0-7yd19KTN4AaABAg,@doofydrift3848,player 067 fineeee,2021-11-25T18:50:33Z
UgwB3wqrtrnT8z9ZNtB4AaABAg,@РоманГорбенко-к9ю,Make a collab with Maslennikov,2021-11-25T18:50:30Z
UgxIWI1VThaGMIOWHz94AaABAg,@TheGayBozo,Amazing,2021-11-25T18:50:29Z
UgzvFFagw_ZaVSdMzDd4AaABAg,@smleo1617,What IT ALREADY CAME OUT,2021-11-25T18:50:28Z
Ugw0LcAWBF7UsbKi2-94AaABAg,@Aureole1599,How do I make sure you can track me playing Brawl Stars?,2021-11-25T18:50:27Z
Ugxy7cls6aqGKf4FRHp4AaABAg,@samuelgarcia1334,El único comentario  en español,2021-11-25T18:50:27Z
UgyLYA7ezeG7uB837314AaABAg,@wlxdii3673,Lit.,2021-11-25T18:50:25Z
UgzEt5MBw2zFAdqpgIt4AaABAg,@barneymatthews1843,If 368 wins man,2021-11-25T18:50:25Z
Ugz4nt71HBbKX57NgvF4AaABAg,@visnjamarkovic9383,I am playing brawl star,2021-11-25T18:50:23Z
Ugxj-OqbzuP3CSGOGFx4AaABAg,@SPORTS-qi1vp,WOW!!!,2021-11-25T18:50:23Z
UgwB2uJxBqGhFuDRXOJ4AaABAg,@lloydgarmadon3201,"wooow  i thought that you realy went to squid game Island 
this is super cool",2021-11-25T18:50:22Z
UgyrNX97zM4P9bM8kpx4AaABAg,@DragonHoudi,Пасиб за подарок,2021-11-25T18:50:21Z
Ugxi0bs_MslooX3NrM54AaABAg,@nayaab5458,I subscribe mr beast,2021-11-25T18:50:20Z
UgwApnvFTFJ7PGY-w_N4AaABAg,@nawaf7564,👍👍,2021-11-25T18:50:19Z
Ugx6-QJibtaGO_oxHyh4AaABAg,@RealRick,👍,2021-11-25T18:50:17Z
UgxVmIyWx-tfN3u6Rst4AaABAg,@LornsCraft,بااااري طيوووب,2021-11-25T18:50:17Z
UgzeFVGyFcUmhU1wpEh4AaABAg,@el_akerman5269,Xd,2021-11-25T18:50:14Z
UgyYEax3G_TEHPhY9kd4AaABAg,@holapapu7748,😱 Brawl Star,2021-11-25T18:50:14Z
Ugw0pTskzS5uWAlHonh4AaABAg,@gaelmora91,Hello mr beast translate this comment to be able to publish it and that you understand me because I speak Spanish the only thing I want to tell you is that I love your videos I will never stop liking I hope you answer :),2021-11-25T18:50:13Z
Ugwb-imD02_RwDPYxTh4AaABAg,@maisgogaming2397,456🥲,2021-11-25T18:50:12Z
UgzhCDf9aP4Ae1_BbT94AaABAg,@famvanprooijen9136,omg thats soo cool respect and i am subed for olmost a jear i think this is incredeble,2021-11-25T18:50:12Z
UgzUWJ0jXDn3REDnwIB4AaABAg,@roseplayz2672,Good job mr beast,2021-11-25T18:50:11Z
Ugy146Wo26BGfBr15Hd4AaABAg,@ambitaxs,QUEEEEEEEEE,2021-11-25T18:50:09Z
Ugza4xZ48e63_8vbkPF4AaABAg,@sadarczi8743,Imagine feminist calling Mr beast for thug of war,2021-11-25T18:50:09Z
UgzLT7bHBU3j8_Hp0vV4AaABAg,@Bobywan75,Some people have way too much money to spend.,2021-11-25T18:50:07Z
UgzzH4URDVMFpo5btc94AaABAg,@belalwael6956,Goat of you tube,2021-11-25T18:50:07Z
