comment_id,author,text,published_at
Ugxa6gE5_gtqnjAC6S14AaABAg,@V1S10N66,I dropped a glass onto my laptop and one of the shards scratched it while i was watching this video,2024-07-15T13:12:21Z
UgxEA_WUP1Yur4M1uiN4AaABAg,@elisebookwurm1217,omg danny ric mentioned: my worlds colliding :D,2024-07-14T04:28:02Z
UgyNIzo2XFkgnHPtkal4AaABAg,@m1-,very cool,2024-07-14T02:52:12Z
Ugz8FswCmsQUjW9oeD54AaABAg,@Luigigaming12,Mrbeast should be commenting here,2024-07-12T04:37:28Z
Ugzx2WeyEqrZiSoc6dB4AaABAg,@extrabfbmm,"4.6 million people saw mayor video get owned by ben, incredible to think about",2024-07-11T19:07:02Z
UgwkOMYekJZWeN4X-g14AaABAg,@Bsmit27,omg ive been hunted by men for sport too!,2024-07-11T02:31:21Z
UgzAvsKxTydCv-yeJwV4AaABAg,@TheTAB56,"""We Don't stop playing because we grow old,  we grow old because we stop playing"" - Truest Quote ever from one of the most amazing Movie Tag.",2024-07-10T09:37:21Z
UgzWuzQu05B3MOV17MV4AaABAg,@LilyAnnespelledcorrectly,why do i love this idea so much,2024-07-09T04:34:18Z
Ugx7OWKvookI9Ixd4DR4AaABAg,@AnthonyFNZ,yoooo there’s my city dunkerque i didn’t finish the video i hope it’s dunkerque,2024-07-08T07:58:38Z
UgxXRxbIpFaNBjuzKvJ4AaABAg,@Urmum150,I’d just get a hotel and lock myself in (sent before I watched the video mb if it was a rule not too),2024-07-07T02:55:00Z
UgxJZqn7L3LSKC1U8414AaABAg,@lwlx,"if one set of stairs makes you feel ""not fine"" the problem is with you not the stairs",2024-07-05T11:27:28Z
UgxZX-SXlEShvRVYgqh4AaABAg,@Blue_lobster65,The blond one looks like the soccer player Holland,2024-07-02T16:18:54Z
UgxSrkFfKCpCdViUmFF4AaABAg,@YahyaImranParacha,Bro doesn't know Daniel Riccardo.its ..it's impossible 😂😂😂😂,2024-07-02T10:08:41Z
UgxqE8pt38NsBeviUGR4AaABAg,@Oscar92839,23:00 thought it’s seven,2024-07-02T09:29:05Z
UgxTEszzjGCfdEy5R0F4AaABAg,@Oscar92839,15:37 Ben’s face “ah man”,2024-07-02T09:21:04Z
UgwWFVB6eezSPWCsu2V4AaABAg,@ravenpotter3,It’s fun actually seeing one of these where it’s a place I’ve been to once. I was dreading them doing to brussles due to how well connected the trains are there. I was in brussles last year for the first time for a study abroad and we did a mini trip to Ghent for a day.,2024-07-01T15:59:23Z
UgyUPu2HGz5O54BjGvt4AaABAg,@SirPolarr,i hav ben huntedrd,2024-06-28T17:33:07Z
UgxmEhyRkke9CMtjQud4AaABAg,@gytan2221,If I were him I would’ve hide in a train lavatory as soon as I get on the train.,2024-06-28T08:32:54Z
UgwduMsQBc6AIVCWvL94AaABAg,@JudithOpdebeeck,for the record: Tournay and Courtray are BOTH in Belgium,2024-06-27T17:41:00Z
UgxFYfZqs-v46JRC52B4AaABAg,@YoushouldntSeethis,hai,2024-06-26T20:41:15Z
Ugx39ShymnNbmtZmm754AaABAg,@purplegrapes7,I wouldve done enough tasks to be able to afford a flight to the direct destination:p,2024-06-20T11:09:09Z
UgxbLqNOXF_H1FWgoMV4AaABAg,@jackberens-wj6yc,shut up mayor video no one asked,2024-06-13T17:35:10Z
UgzLJRkFIUbsZTauifF4AaABAg,@vSparq,"That Ricciardo reference is brutal, Sam!",2024-06-11T16:33:05Z
UgyW2pWOQlSEWgZdoCB4AaABAg,@_hologramm,BEN!!! WERE YOU CAREFUL WITH THE GIRL????!?!?!?!?!?!?!?,2024-06-11T15:13:22Z
UgzjD_m_gNGrYy0K-zJ4AaABAg,@geochonker9052,Jet Lag's magnum opis,2024-06-03T20:26:43Z
UgzcWwwEmf5ko0jJPjR4AaABAg,@diemisstala,Danny Riiiiicccccaaardoooooo🔥,2024-05-29T15:13:37Z
UgxJFvf5ONqhmMXKzqF4AaABAg,@KaiLucasZachary,"Anybody else remember the very beginning of Legend of Aang where Zuko thinks he's a master of evasion, and it turns out they're just randomly going to all the fun spots with animals to ride?",2024-05-27T02:46:40Z
UgzehaENBkcEEY_nWH54AaABAg,@omnitroph1501,"5:10 
I usually don't respond to these engagement calls, but it's such a specific scenario to relate to that you deserve this one. I can confirm, it's very scary.",2024-05-25T03:10:09Z
Ugxhy4fXQjiFgEXfpeZ4AaABAg,@WooJunyouEvansVictoriasch,how do you guys make the map for the win zones? what tool do you use?,2024-05-24T12:07:51Z
UgwWmBM6G4qq2m-o7H54AaABAg,@akubotakakubotak,let ben narrate please,2024-05-24T08:56:10Z
Ugy-7P70qOoBlyJqfjd4AaABAg,@infinity2383,This isn't tag this is minecraft manhunt but no minecraft,2024-05-04T00:46:46Z
UgykIhkkAlKZ5-5T2N14AaABAg,@Salamiman29,personally ive never been hunted idk abt tm tho,2024-04-30T15:08:30Z
UgxTu3Fs7Ae52a7bTqh4AaABAg,@KaiLucasZachary,I've been hunted for sport... but not by this particular person....,2024-04-29T08:04:59Z
UgxO-5LgvOZ1bohn23x4AaABAg,@ajnemeth5773,Dunkirk is 6 letters?,2024-04-29T00:48:56Z
Ugz4BizOtTAPUcEt8RB4AaABAg,@XuanNguyen-iv1ms,I Have Never Been Hunted For Sport :),2024-04-26T02:29:27Z
UgyCj-gbfjNJbVUngKV4AaABAg,@patfodi3163,"been there , done that",2024-04-22T14:02:04Z
Ugz0nNxBjT6Y5v9Cabx4AaABAg,@ramkrishnasangroula2960,The video doesnt show Sam shuffling cards in Lille. He just says he shuffled it. And there was another worst restautrant in Lille within 2 miles but he chose the 2nd worst.,2024-04-21T05:20:33Z
UgyWvTWjeqcnNyW8WIh4AaABAg,@aaaando6798,😢,2024-04-16T18:26:48Z
Ugwy4qIxI_NR3wpdTYJ4AaABAg,@hagenbonner6560,You gotta do this in Romania. Only slow speed trains and not as frequent. It would be hilarious.,2024-04-09T18:46:24Z
UgzS6AjpdXDQDLPXWsx4AaABAg,@saguntum-iberian-greekkons7014,"Has the game become a very famous sport, I think that at the end of the movie ""Tag, 2018"" there was mention about something like this",2024-04-08T13:27:45Z
UgynooC7c-4YEi-k1KF4AaABAg,@totalrevengeance,"“Comment below if you’ve been hunted by men for sport.”
I mean every child has at some point played hide and seek or tag right?",2024-04-03T19:00:52Z
Ugz3ryk-hAXl8MPvReN4AaABAg,@ERBEpic,"“Commit an American crime”
Easy, jaywalk",2024-03-31T05:52:01Z
UgxKAedBUEXdd-r6pGx4AaABAg,@prajplayz,Glad im not the only one who's rooting for the honeybadger to win,2024-03-30T15:14:24Z
UgzoxV0d_lc25Q4m5A14AaABAg,@anonymouspie1366,I have been hunted by men for sport 😩,2024-03-27T10:16:07Z
UgxZI8H4GLcm8SR5bpl4AaABAg,@fracegont,THE DANNY RICCIARDO THING AHHAHA i had to replay that,2024-03-20T14:34:52Z
Ugxmp9r5fPcLGHyYiQN4AaABAg,@poro9084,the bell was on time always - it just doesnt ring at whole hour,2024-03-20T11:59:47Z
Ugxsz2nw505EkakMuJ94AaABAg,@TheBrilliantChicken,damn shure would be a bummer having to pay train by the min. in Germany with all of the delays of the Deutsche Bahn 😬,2024-03-19T15:40:18Z
UgyA3SZvXHXUdcuBVy14AaABAg,@datonekid867,He run like a titan 5:18 😭,2024-03-18T06:18:24Z
UgynuIhZVsrgaCJjS2t4AaABAg,@zan1971,Wait you guys are the half as interesting guys too?? Damn what the heck. That's a wild other channel to have. No wonder I was getting constant deja vu from the voice.,2024-03-16T18:06:37Z
Ugx1F9ceTUnF-vBmT-N4AaABAg,@merileebehrendsen366,I've never been hunted by men for sport!,2024-03-16T03:41:28Z
UgzJ-hGaMa0UWKNGIyB4AaABAg,@reaganlee6706,"That comment about you being annoying fuck dem, yall are like a bi guys dream date.",2024-03-15T20:17:33Z
Ugz5PhnV5dvR7E5aoC94AaABAg,@neededtundra,They went to the John Wick 4 stairs,2024-03-15T03:51:21Z
UgzsMPL9e1ScHXytWmB4AaABAg,@kristin.1124,"Well played! I also did Interrail a couple of times, it really gives you a great spontaneity in travelling. Looking forward to the further episodes.",2024-03-14T17:59:55Z
UgyIwwOyV4MtKZEEyGJ4AaABAg,@ghalebrefai4788,"🎯 Key Takeaways for quick navigation:

00:00 *🏃 Setting up the Game of Tag Across Europe*
Players explain the rules and objectives of the game, including the roles of the Runner and Chasers.
Discussion on strategic planning and initial moves to gain an advantage in the game.
02:30 *🎫 Explanation of In-Game Currency and Challenges*
Explanation of the in-game currency system for purchasing transportation.
Overview of challenge cards and their role in earning additional coins.
04:30 *🚂 Ben's Strategy and Challenges*
Ben strategizes his transportation choices and evaluates the potential challenges.
Discussion on the risks and rewards of different routes and modes of transportation.
20:11 *🍺 Strategic Planning in Calais: Challenges and Next Moves*
Discussion on the strategic implications of Ben's destination choice and potential train schedules.
Evaluation of different transportation options and their impact on gameplay.
22:00 *🃏 Introduction of Curse Cards and Adaptation to Challenges*
Introduction of Curse Cards as a new element in the game.
Evaluation of how Curse Cards affect strategic decision-making and gameplay tactics.
23:46 *💡 Promotion of Nebula and CuriosityStream Subscription*
Promotion of Nebula and CuriosityStream subscription bundles.
Highlighting exclusive content and benefits of being a subscriber.
Expressing gratitude to subscribers for supporting the channel financially.

Made with HARPA AI",2024-03-10T04:16:28Z
UgydixfrupYWMNgmDEd4AaABAg,@DashOne,:amoung us:,2024-03-06T16:11:40Z
UgzPsCNDlxivIOl4gxB4AaABAg,@DashOne,"I've been hunted, but not for sport. *sus*",2024-03-06T16:11:17Z
UgwnFC0hm6CezaNgw8x4AaABAg,@nether_cat,"nice reference and mention of daniel ricciardo. he‘s definitely having fun, no matter what 😅",2024-03-03T18:05:18Z
UgxzYomZHW6dtdU8g1J4AaABAg,@julesozon8975,I've been hunted by men for sport.,2024-02-18T22:54:44Z
