comment_id,author,text,published_at,cleaned_comment,sentiment,sentiment_category,tokens,topic
UgwHd_oTOrHBPdGdv9Z4AaABAg,@zeljkogojic8353,Serbia,2022-09-24T11:08:29Z,serbia,0.0,Neutral,['serbia'],4
UgzyBQ3L2eF4-qcVuf94AaABAg,@foodeater420,ive been hunted by men,2022-09-24T10:30:52Z,ive been hunted by men,0.0,Neutral,"['hunt', 'man']",0
UgwY56VJciMAxLIP1P54AaABAg,@syn-kode,"I got chased by grown men once, they were called the police or something I don’t know",2022-09-24T10:21:58Z,i got chased by grown men once they were called the police or something i don t know,0.0,Neutral,"['get', 'chase', 'grown', 'man', 'call', 'police', 'something', 'know']",0
UgzlgnEtVk27MtNd9-l4AaABAg,@syn-kode,"I got chased by grown men once, they were called the police or something I don’t know?",2022-09-24T10:21:52Z,i got chased by grown men once they were called the police or something i don t know,0.0,Neutral,"['get', 'chase', 'grown', 'man', 'call', 'police', 'something', 'know']",0
Ugx0YThQPRc3Qq0pDWd4AaABAg,@edbarkersetch8969,Such a great vid man❤,2022-09-24T09:42:51Z,such a great vid man,0.4,Positive,"['great', 'vid', 'man']",1
Ugwg0BZbfNRRo2E6fBt4AaABAg,@BredTheBreddiest,I feel like the runners should see where the chasers are for like a fee In coins,2022-09-24T06:26:00Z,i feel like the runners should see where the chasers are for like a fee in coins,0.0,Neutral,"['feel', 'like', 'runner', 'see', 'chaser', 'like', 'fee', 'coin']",2
Ugy9DBx1Ee2d8Au-qA94AaABAg,@thomasf1129,The way he just put Ricciardo down do casually,2022-09-24T06:19:14Z,the way he just put ricciardo down do casually,-0.32777777777777783,Negative,"['way', 'put', 'ricciardo', 'casually']",4
UgwtzRANtWjtmGjxc-B4AaABAg,@Rctive,F1 representation woooo,2022-09-24T05:48:18Z,f1 representation woooo,0.0,Neutral,"['representation', 'woooo']",1
Ugwrxho8BaPMzfNe9hV4AaABAg,@ItIsThatGuy12,Imagine getting stuck in a country because of Covid,2022-09-24T03:21:20Z,imagine getting stuck in a country because of covid,0.0,Neutral,"['imagine', 'getting', 'stick', 'country', 'covid']",0
UgzFnaDs0DQBKrIySNJ4AaABAg,@leadranger3607,Great awsome and unique video idea. awsome vid earned a like,2022-09-24T01:40:01Z,great awsome and unique video idea awsome vid earned a like,0.5875,Positive,"['great', 'awsome', 'unique', 'video', 'idea', 'awsome', 'vid', 'earn', 'like']",4
UgyDx2r2LglGvkPlw8F4AaABAg,@lesillybinklefoop9595,"""Leave a comment if youve ever been chased by... Men... For a sport....""",2022-09-24T00:47:12Z,leave a comment if youve ever been chased by men for a sport,0.0,Neutral,"['leave', 'comment', 'ever', 'chase', 'man', 'sport']",0
UgzqpHwG4UtZy5c2Y-14AaABAg,@captainskelly2047,Yes,2022-09-23T23:17:18Z,yes,0.0,Neutral,['yes'],1
Ugwmv8SPzG59y8E1wPZ4AaABAg,@jidionclips_fan5720,"Honestly love this season, IM SO HYPED",2022-09-23T22:18:51Z,honestly love this season im so hyped,0.5,Positive,"['honestly', 'love', 'season', 'hype']",1
UgxA8-5jXubr3sZaTql4AaABAg,@nathandavenport1996,Is it me or are these the only guys who use colored subtitles?,2022-09-23T22:13:12Z,is it me or are these the only guys who use colored subtitles,0.0,Neutral,"['guy', 'use', 'colored', 'subtitle']",2
UgzwqYz3P7uNbrRIeMd4AaABAg,@sushicat999,I love Ben! He is so funny and charming :),2022-09-23T21:08:24Z,i love ben he is so funny and charming,0.48333333333333334,Positive,"['love', 'ben', 'funny', 'charming']",3
UgzjQdPRZsQUaa3fAkp4AaABAg,@Ollut-dt9ft,Ben?,2022-09-23T20:55:02Z,ben,0.0,Neutral,['ben'],3
UgxbOnGRxxAd9k7Lb-54AaABAg,@Xaritys,bro 20 seconds in I was like I am subscribing.  I  love your vids btw this is my first time watching,2022-09-23T20:07:08Z,bro 20 seconds in i was like i am subscribing i love your vids btw this is my first time watching,0.375,Positive,"['bro', 'second', 'like', 'subscribe', 'love', 'vid', 'btw', 'first', 'time', 'watch']",2
Ugx5D4KbWCUQsR_gk9d4AaABAg,@asusamjad,Damn this  game is the best of the best play with you friends,2022-09-23T19:42:21Z,damn this game is the best of the best play with you friends,0.5333333333333333,Positive,"['damn', 'game', 'good', 'good', 'play', 'friend']",2
Ugzheb8z8Cdg00cmhkl4AaABAg,@TobiasHuybrechs,'Kortrajk'😂,2022-09-23T19:08:24Z,kortrajk,0.0,Neutral,['kortrajk'],2
UgyhKR_eatoO2Qjhhjp4AaABAg,@derekzhang678,GO BEN,2022-09-23T19:06:02Z,go ben,0.0,Neutral,"['go', 'ben']",4
UgyMa4jBYSfHUMqWNFt4AaABAg,@SciCuri0us,i love this game,2022-09-23T18:45:43Z,i love this game,0.04999999999999999,Positive,"['love', 'game']",3
Ugw-2suZebnBfXTBw194AaABAg,@speedi789,Im so sad you almost went to my city,2022-09-23T18:39:53Z,im so sad you almost went to my city,-0.5,Negative,"['sad', 'almost', 'go', 'city']",4
UgzEUUGit2okErJD1ZF4AaABAg,@ZeroYT,WENDOVER i didnt have an idea how your fVe looked until this. Thats crazy.,2022-09-23T18:16:46Z,wendover i didnt have an idea how your fve looked until this thats crazy,-0.6,Negative,"['wendover', 'not', 'idea', 'fve', 'look', 'crazy']",2
UgxqVJNAE8ET7NsYy5B4AaABAg,@NoblePineapples,"@5:20 I didn't expect to feel my sad feelings for Danny Ricc in a Jet Lag video. But you are right, it is alright.",2022-09-23T18:04:13Z,20 i didn t expect to feel my sad feelings for danny ricc in a jet lag video but you are right it is alright,-0.10714285714285715,Negative,"['expect', 'feel', 'sad', 'feeling', 'danny', 'ricc', 'jet', 'lag', 'video', 'right', 'alright']",3
UgyeKwaUUzDF3w_7dMd4AaABAg,@LBRF1_,The danny ric reference took me off guard,2022-09-23T17:19:56Z,the danny ric reference took me off guard,0.0,Neutral,"['danny', 'ric', 'reference', 'take', 'guard']",3
UgxuXMh5h-Gryd_KqbF4AaABAg,@gogocohen6287,"Please do it from Vienna to denmark, romania and france",2022-09-23T17:08:41Z,please do it from vienna to denmark romania and france,0.0,Neutral,"['please', 'vienna', 'denmark', 'romania', 'france']",3
UgzSz5_w7XexIRPdXlZ4AaABAg,@matherman1111,"okay, this sounds way too fun, definetly not because i wanna travel the entire world.",2022-09-23T16:42:54Z,okay this sounds way too fun definetly not because i wanna travel the entire world,0.26666666666666666,Positive,"['okay', 'sound', 'way', 'fun', 'definetly', 'wanna', 'travel', 'entire', 'world']",1
UgwIPwIHJ_SB2QDj_vh4AaABAg,@actuallyavailable,How do you have theamount of money to do this,2022-09-23T16:42:19Z,how do you have theamount of money to do this,0.0,Neutral,"['theamount', 'money']",1
UgwzfLafLVPN5h4fYn54AaABAg,@vacronda,Danny Ric hat appreciation comment.,2022-09-23T16:32:41Z,danny ric hat appreciation comment,0.0,Neutral,"['danny', 'ric', 'hat', 'appreciation', 'comment']",3
UgxbH3Z4_zxgXtTrwNF4AaABAg,@user-pv5ob3yf6h,Courtrai is the French version of Kortrijk ( the Dutch version) They speak dutch there so it’s Kortijk,2022-09-23T16:16:07Z,courtrai is the french version of kortrijk the dutch version they speak dutch there so it s kortijk,0.0,Neutral,"['courtrai', 'french', 'version', 'kortrijk', 'dutch', 'version', 'speak', 'dutch', 'kortijk']",4
UgxuexZRtRrAqejfBKF4AaABAg,@kryptedcode,This is one of the very interesting channels i found on YouTube. Gonna watch all episodes in 1 day!!,2022-09-23T16:12:47Z,this is one of the very interesting channels i found on youtube gonna watch all episodes in 1 day,0.65,Positive,"['one', 'interesting', 'channel', 'find', 'youtube', 'go', 'to', 'watch', 'episode', 'day']",2
UgwkbujlaOgD1W86fD94AaABAg,@BigBoyJaceks,How the hell did u got blue color for subtitles?,2022-09-23T16:06:08Z,how the hell did u got blue color for subtitles,0.0,Neutral,"['hell', 'u', 'get', 'blue', 'color', 'subtitle']",3
UgzYCGSD2cyGm9oqQtR4AaABAg,@BotturasStudios,"i live in elgium so all the citys you guys mention in belgium, i have already visited",2022-09-23T15:44:13Z,i live in elgium so all the citys you guys mention in belgium i have already visited,0.13636363636363635,Positive,"['live', 'elgium', 'city', 'guy', 'mention', 'belgium', 'already', 'visit']",1
UgxW9ULozmG9n3Cv_-54AaABAg,@elithelegobrick,"yes, i have",2022-09-23T15:31:45Z,yes i have,0.0,Neutral,['yes'],1
Ugyr9oSe-oSiN9atw4V4AaABAg,@delanoanderson5890,this is a sick concept!!!,2022-09-23T14:04:26Z,this is a sick concept,-0.7142857142857143,Negative,"['sick', 'concept']",4
UgzV5oEWFySwRexWV9Z4AaABAg,@willis6370,What app were you using for the tracker?,2022-09-23T12:20:31Z,what app were you using for the tracker,0.0,Neutral,"['app', 'use', 'tracker']",2
UgyiwfnoXZK57T928gF4AaABAg,@MarcelRecasens,"Lol, this is so well-done",2022-09-23T11:58:59Z,lol this is so well done,0.8,Positive,"['lol', 'well', 'do']",4
UgxkLgqAJgVJl4hFcxd4AaABAg,@atharvachokhani93,F1 fans,2022-09-23T11:32:11Z,f1 fans,0.0,Neutral,['fan'],4
UgwCMIeyiHjlf5LHUYJ4AaABAg,@scottcoleman1037,Sam's at a disadvantage as there are only two ways to Zermatt which is either a train via Tasche or ski down from Cervinia or Valtournenche. Adam and Ben can wait in Zermatt and if Sam takes the easy option to go via Tasche they can tag him there. If they notice Sam heading towards Cervinia or Valtournenche they can get to the glacier and ski down to Valtournenche and wait for Sam there. I don't know if they need to spend coins taking gondalas and chair lifts.,2022-09-23T11:27:53Z,sam s at a disadvantage as there are only two ways to zermatt which is either a train via tasche or ski down from cervinia or valtournenche adam and ben can wait in zermatt and if sam takes the easy option to go via tasche they can tag him there if they notice sam heading towards cervinia or valtournenche they can get to the glacier and ski down to valtournenche and wait for sam there i don t know if they need to spend coins taking gondalas and chair lifts,0.03055555555555555,Positive,"['sam', 'disadvantage', 'two', 'way', 'zermatt', 'either', 'train', 'via', 'tasche', 'ski', 'cervinia', 'valtournenche', 'adam', 'ben', 'wait', 'zermatt', 'sam', 'take', 'easy', 'option', 'go', 'via', 'tasche', 'tag', 'notice', 'sam', 'head', 'towards', 'cervinia', 'valtournenche', 'get', 'glacier', 'ski', 'valtournenche', 'wait', 'sam', 'know', 'need', 'spend', 'coin', 'take', 'gondala', 'chair', 'lift']",4
Ugw5pOzeWt6c6jTanvV4AaABAg,@clydemakesedits,#TeamBen bruh.,2022-09-23T11:05:37Z,bruh,0.0,Neutral,['bruh'],2
UgztUmWbGxUoYs5Lsnp4AaABAg,@INoobyok,I just found this channel today wanted to compliment you guys on the editing and overall effort you put in the videos!,2022-09-23T10:56:21Z,i just found this channel today wanted to compliment you guys on the editing and overall effort you put in the videos,0.0,Neutral,"['find', 'channel', 'today', 'want', 'compliment', 'guy', 'editing', 'overall', 'effort', 'put', 'video']",4
UgxxsA9JKi2RQXSFzph4AaABAg,@majaeekakathepumpkinspicel9938,Kikiki ra ayayay,2022-09-23T09:33:15Z,kikiki ra ayayay,0.0,Neutral,"['kikiki', 'ra', 'ayayay']",3
UgxlElPV4JtFg4dFcIV4AaABAg,@IslamicProductionsISPRO,Who Sam and ben???,2022-09-23T06:38:15Z,who sam and ben,0.0,Neutral,"['sam', 'ben']",3
UgztWGW3f3dCl_RkcsV4AaABAg,@ΔΑΝΧΙΑΝ,This deserves way more views imo,2022-09-23T05:01:16Z,this deserves way more views imo,0.5,Positive,"['deserve', 'way', 'view', 'imo']",4
UgzymGS23wdJrc54VeV4AaABAg,@willfeiyiiam4731,Interesting... :),2022-09-23T04:11:05Z,interesting,0.5,Positive,['interesting'],2
UgxOF-2Wdqpq2mtmkLJ4AaABAg,@chessbash,Sounds like HHI,2022-09-23T02:08:44Z,sounds like hhi,0.0,Neutral,"['sound', 'like', 'hhi']",2
UgycMrVNl7DFIOHIE994AaABAg,@chrisbotos,Let's go to recommended to me and it seems like an unbelievably also my dear how come this doesn't have a million years already!,2022-09-23T02:05:12Z,let s go to recommended to me and it seems like an unbelievably also my dear how come this doesn t have a million years already,-0.25,Negative,"['let', 'go', 'recommend', 'seem', 'like', 'unbelievably', 'also', 'dear', 'come', 'million', 'year', 'already']",1
